ModelSim Parent Window: ModelSim - INTEL FPGA STARTER EDITION 2020.1
HWND: 1119804
Size: 2011x1236
Position: (436, 107)

Total child windows: 589

========================================================================================================================

All child windows (sorted by size):
  #       HWND Class                                    Title                          Size            Position             Area      
--------------------------------------------------------------------------------------------------------------------------------------------
  1    2038886 TkChild                                                                 1995x1177       (444, 158)           2348115   
  2    2038500 TkChild                                                                 1995x1088       (444, 224)           2170560   
  3    4397682 TkChild                                                                 1995x1088       (444, 224)           2170560   
  4    1314620 TkChild                                                                 1995x1088       (444, 224)           2170560   
  5    2232156 TkChild                                                                 1995x1088       (444, 224)           2170560   
  6    2297300 TkChild                                                                 1995x1088       (444, 224)           2170560   
  7    1247626 TkChild                                                                 1995x1088       (444, 224)           2170560   
  8    1382476 TkChild                                                                 1995x1088       (444, 224)           2170560   
  9    3807294 TkChild                                                                 1995x601        (444, 711)           1198995   
 10    1774766 TkChild                                                                 1995x601        (444, 711)           1198995   
 11    1644968 TkChild                                                                 1995x601        (444, 711)           1198995   
 12    3410802 TkChild                                                                 1995x601        (444, 711)           1198995   
 13    1512384 TkChild                                                                 1991x580        (446, 730)           1154780   
 14    1184374 TkChild                                                                 1991x580        (446, 730)           1154780   
 15    3219420 TkChild                                                                 1970x580        (448, 730)           1142600   
 16    1052226 TkChild                                                                 1995x481        (444, 224)           959595    
 17    1578240 TkChild                                                                 1995x481        (444, 224)           959595    
 18    1840640 TkChild                                                                 1191x481        (1248, 224)          572871    
 19    2038792 TkChild                                                                 1191x458        (1248, 224)          545478    
 20    1642566 TkChild                                                                 1191x458        (1248, 224)          545478    
 21     855704 TkChild                                                                 1191x458        (1248, 224)          545478    
 22    3542008 TkChild                                                                 1187x436        (1250, 244)          517532    
 23    1315196 TkChild                                                                 1187x436        (1250, 244)          517532    
 24    1446146 TkChild                                                                 1187x436        (1250, 244)          517532    
 25    2233508 TkChild                                                                 1185x434        (1251, 245)          514290    
 26    4720730 TkChild                                                                 1185x434        (1251, 245)          514290    
 27    3019808 TkChild                                                                 1185x434        (1251, 245)          514290    
 28    1840472 TkChild                                                                 1183x432        (1252, 246)          511056    
 29    6166232 TkChild                                                                 899x347         (1516, 267)          311953    
 30    1315696 TkChild                                                                 893x347         (1519, 267)          309871    
 31    2498654 TkChild                                                                 605x415         (447, 245)           251075    
 32    1382794 TkChild                                                                 396x481         (444, 224)           190476    
 33    2761118 TkChild                                                                 396x481         (846, 224)           190476    
 34    3674558 TkChild                                                                 396x481         (846, 224)           190476    
 35    2299382 TkChild                                                                 396x458         (444, 224)           181368    
 36     661250 TkChild                                                                 396x458         (444, 224)           181368    
 37    1249138 TkChild                                                                 396x458         (444, 224)           181368    
 38    1515590 TkChild                                                                 392x436         (446, 244)           170912    
 39    1643390 TkChild                                                                 392x436         (446, 244)           170912    
 40    1712204 TkChild                                                                 392x436         (446, 244)           170912    
 41    8133896 TkChild                                                                 392x436         (446, 244)           170912    
 42    1843280 TkChild                                                                 392x418         (446, 244)           163856    
 43    1775294 TkChild                                                                 390x416         (447, 245)           162240    
 44    1970442 TkChild                                                                 1995x66         (444, 158)           131670    
 45    2757816 TkChild                                                                 603x194         (849, 489)           116982    
 46    1904762 TkChild                                                                 396x238         (846, 224)           94248     
 47    1250958 TkChild                                                                 396x238         (846, 224)           94248     
 48     660490 TkChild                                                                 396x237         (846, 468)           93852     
 49    1646184 TkChild                                                                 396x237         (846, 468)           93852     
 50    1054778 TkChild                                                                 392x216         (848, 244)           84672     
 51    2890464 TkChild                                                                 392x216         (848, 244)           84672     
 52    1318146 TkChild                                                                 392x216         (848, 244)           84672     
 53     723262 TkChild                                                                 392x216         (848, 244)           84672     
 54    1055242 TkChild                                                                 392x216         (848, 244)           84672     
 55    1905094 TkChild                                                                 392x215         (848, 488)           84280     
 56    1709164 TkChild                                                                 392x215         (848, 488)           84280     
 57    3015366 TkChild                                                                 392x215         (848, 488)           84280     
 58     985424 TkChild                                                                 392x215         (848, 488)           84280     
 59    1448980 TkChild                                                                 390x214         (849, 245)           83460     
 60    2430188 TkChild                                                                 390x213         (849, 245)           83070     
 61    3609862 TkChild                                                                 392x197         (848, 488)           77224     
 62    1643122 TkChild                                                                 390x195         (849, 489)           76050     
 63    2560920 TkChild                                                                 147x398         (447, 262)           58506     
 64    1580230 TkChild                                                                 150x347         (1260, 267)          52050     
 65    1709676 TkChild                                                                 150x347         (1260, 267)          52050     
 66    1319012 TkChild                                                                 120x398         (594, 262)           47760     
 67    2169938 TkChild                                                                 1995x23         (444, 1312)          45885     
 68    1251632 TkChild                                                                 96x398          (810, 262)           38208     
 69    1381874 TkChild                                                                 96x398          (714, 262)           38208     
 70    1446764 TkChild                                                                 90x398          (961, 262)           35820     
 71     722646 TkChild                                                                 899x39          (1516, 617)          35061     
 72    1121556 TkChild                                                                 893x39          (1519, 617)          34827     
 73    1513024 TkChild                                                                 100x347         (1413, 267)          34700     
 74    2560996 TkChild                                                                 100x347         (1413, 267)          34700     
 75    1380480 TkChild                                                                 1991x17         (446, 713)           33847     
 76     920360 TkChild                                                                 1597x19         (648, 1314)          30343     
 77    1578128 TkChild                                                                 147x196         (849, 262)           28812     
 78    1708970 TkChild                                                                 1191x23         (1248, 682)          27393     
 79    1579878 TkChild                                                                 152x177         (1299, 506)          26904     
 80    3744128 TkChild                                                                 1169x23         (1248, 682)          26887     
 81    1448590 TkChild                                                                 147x177         (849, 506)           26019     
 82    2956360 TkChild                                                                 55x398          (906, 262)           21890     
 83    1252712 TkChild                                                                 1187x18         (1250, 226)          21366     
 84    1512038 TkChild                                                                 1865x10         (520, 716)           18650     
 85    2364908 TkChild                                                                 104x177         (996, 506)           18408     
 86    1776746 TkChild                                                                 97x177          (1202, 506)          17169     
 87    1577534 TkChild                                                                 899x19          (1516, 659)          17081     
 88    1315388 TkChild                                                                 899x18          (1516, 246)          16182     
 89    3214198 TkChild                                                                 893x18          (1519, 246)          16074     
 90    1774026 TkChild                                                                 899x17          (1516, 660)          15283     
 91    1904772 TkChild                                                                 897x15          (1517, 661)          13455     
